category,channel,etc,maker,nReview,nSold,options,price,productName,site_productID,updateDate,url
hair dryer,amazonlist,https://m.media-amazon.com/images/I/61WO2Nkw81L._AC_UL320_.jpg,,"4,349",,,$59.95,"BaBylissPRO BAB2000 Ceramix Xtreme Dryer, Black, 2000 Watt",,,
hair dryer,amazonlist,https://m.media-amazon.com/images/I/61Z2SCVNoiL._AC_UL320_.jpg,,"1,024",,,$129.99,BaBylissPRO Nano Titanium Portofino Full-Size Dryer,,,
hair dryer,amazonlist,https://m.media-amazon.com/images/I/71A3mTJ4+YL._AC_UL320_.jpg,,247,,,"$28.50,$29.99","BaBylissPRO BABNT5510 Nano Titanium Bambino Compact Dryer, Black",,,
hair dryer,amazonlist,https://m.media-amazon.com/images/I/71X1pNfdX5L._AC_UL320_.jpg,,"4,016",,,$79.99,"BaBylissPRO BABNT5548 Nano Titanium Hair Dryer, 2000 Watt",,,
hair dryer,amazonlist,https://m.media-amazon.com/images/I/61R-womBisL._AC_UL320_.jpg,,87,,,"$120.02,$150.00","T3 - Featherweight Compact Folding Hair Dryer | Lightweight & Portable Dual Voltage Travel Hair Dryer | T3 SoftAire Technology for Fast, Healthy, and Frizz-Free Blow Drying | Includes Storage Bag",,,
hair dryer,amazonlist,https://m.media-amazon.com/images/I/616m9c7Uq6L._AC_UL320_.jpg,,173,,,$21.49,"ZOOMMATE Mini Travel Hair Dryer 1000W Folding Handle Blow Dryer with Bag, Hot and Cool, 2 Speed Setting, Safety Protection (Matte Black)",,,
hair dryer,amazonlist,https://m.media-amazon.com/images/I/71HnK4v9yYL._AC_UL320_.jpg,,2,,,$199.00,Solano Vero 1600W Lightweight Speed Hair Dryer,,,
hair dryer,amazonlist,https://m.media-amazon.com/images/I/61W-ll3fitL._AC_UL320_.jpg,,222,,,$59.99,"SABUY 2200W Professional Hair Dryer, Ionic Ceramic Blow Dryer with Diffuser and Concentrator Nozzles, Salon Performance, Black, IHD8501",,,
hair dryer,amazonlist,https://m.media-amazon.com/images/I/61Gk1n6pT7L._AC_UL320_.jpg,,974,,,$17.38,TESCOM windy Carl dryer gray TS20-H,,,
hair dryer,amazonlist,https://m.media-amazon.com/images/I/81T0Th9mUwL._AC_UL320_.jpg,,51,,,$59.95,"[Newest 2020] Professional Ionic Salon Hair Dryer, 2200 Watt Powerful AC Motor Ceramic Tourmaline Ion Blow Dryer, Quiet Hair Dryers with Diffuser & 2 Concentrator Nozzle Attachments Black/Red",,,
hair dryer,amazonlist,https://m.media-amazon.com/images/I/71a7XupuDFL._AC_UL320_.jpg,,205,,,$114.95,TURBO POWER Twinturbo 2800 Coldmatic Hair Dryer 314,,,
hair dryer,amazonlist,https://m.media-amazon.com/images/I/61vHQVQWpyL._AC_UL320_.jpg,,211,,,"$24.99,$35.99","Upgrade Hair Dryer Brush Styler and Volumizer,Lightweight 3 in 1 Ionic Hot Air Brush with 2 Styling Attachments, Blow Dryer Brush, Hair Curler,Straightener and Styler for All Hair Types",,,
hair dryer,amazonlist,https://m.media-amazon.com/images/I/61gLtmkrV-L._AC_UL320_.jpg,,260,,,$32.99,1875 watt Professional Salon Hair Dryer With AC Motor For Faster Drying & Maximum Shine - High safety ETL Certified Hot Tool Dryer. Ionic Blow Dryer For Frizzy Curly Hair With Diffuser & Concentrator,,,
hair dryer,amazonlist,https://m.media-amazon.com/images/I/41J4L2-9S0L._AC_UL320_.jpg,,880,,,$89.99,"BaBylissPRO BP6685 Porcelain Ceramic Carrera2 Dryer, Black",,,
hair dryer,amazonlist,https://m.media-amazon.com/images/I/61Z2SCVNoiL._AC_UL320_.jpg,,"1,024",,,$129.99,BaBylissPRO Nano Titanium Portofino Full-Size Dryer,,,
hair dryer,amazonlist,https://m.media-amazon.com/images/I/719zYgNTasL._AC_UL320_.jpg,,191,,,$39.98,"2000 Watt Hair Dryers, Xpoliman Professional Salon Hair Dryer with AC Motor, Negative Ionic Blow Dryer with Diffuser Concentrator Comb, 2 Speed 3 Heat Settings,Low Noise Long Life style-Purple",,,
hair dryer,amazonlist,https://m.media-amazon.com/images/I/61--oaCcioL._AC_UL320_.jpg,,683,,,$99.99,"BaBylissPRO BABTTW5586 Tourmaline Titanium 5000 Dryer, White",,,
hair dryer,amazonlist,https://m.media-amazon.com/images/I/61WO2Nkw81L._AC_UL320_.jpg,,"4,349",,,$59.95,"BaBylissPRO BAB2000 Ceramix Xtreme Dryer, Black, 2000 Watt",,,
hair dryer,amazonlist,https://m.media-amazon.com/images/I/71PlZqafLML._AC_UL320_.jpg,,141,,,$35.06,"KIPOZI Pro 1875 W Negative Ions Hair Dryer Ceramic Fast Dry Lightweight Hair Blow Dryer with 2 Speed and 3 Heat Settings,Diffuser Concentrator &Cool shot button,Low Noise(Black)",,,
hair dryer,amazonlist,https://m.media-amazon.com/images/I/71sdmmj-cJL._AC_UL320_.jpg,,,,,$299.00,Solano Forza 2000W Ultra-Fast Drying Hair Dryer,,,
hair dryer,amazonlist,https://m.media-amazon.com/images/I/61Z2SCVNoiL._AC_UL320_.jpg,,"1,024",,,$129.99,BaBylissPRO Nano Titanium Portofino Full-Size Dryer,,,
hair dryer,amazonlist,https://m.media-amazon.com/images/I/61WFt3pAZsL._AC_UL320_.jpg,,"2,242",,,$79.99,"BaBylissPRO BABTT5585 Tourmaline Titanium 3000 Dryer, Red",,,
hair dryer,amazonlist,https://m.media-amazon.com/images/I/71A3mTJ4+YL._AC_UL320_.jpg,,247,,,"$28.50,$29.99","BaBylissPRO BABNT5510 Nano Titanium Bambino Compact Dryer, Black",,,
hair dryer,amazonlist,https://m.media-amazon.com/images/I/71FeBuadRtL._AC_UL320_.jpg,,537,,,"$28.29,$39.99",INFINITIPRO BY CONAIR 1875 Watt Full Size Salon Performance AC Motor Styler/Hair Dryer; Soft Touch Red,,,
hair dryer,amazonlist,https://m.media-amazon.com/images/I/61h3yue5eWL._AC_UL320_.jpg,,125,,,$21.99,Hair Dryer with Anti-Frizz Ionic Conditioning | Extra-Fast & Powerful Professional Heat Blow Dryer | Compact/Lightweight Blow dryer | Salon-Grade Electric Hair dryer for Women & Girls,,,
hair dryer,amazonlist,https://m.media-amazon.com/images/I/41UANtF8Y0L._AC_UL320_.jpg,,72,,,$179.99,"BaBylissPRO BF7000 Rapido Hair Dryer, Black",,,
hair dryer,amazonlist,https://m.media-amazon.com/images/I/71MQt+bErIL._AC_UL320_.jpg,,"1,251",,,"$29.80,$35.06","KIPOZI 1875W Hair Dryer, Nano Ionic Blow Dryer Professional Salon Hair Blow Dryer Lightweight Fast Dry Low Noise, with Concentrator, Diffuser, 2 Speed and 3 Heat Settings",,,
hair dryer,amazonlist,https://m.media-amazon.com/images/I/61ShVelKXEL._AC_UL320_.jpg,,"1,959",,,$28.99,"JINRI 1875W Professional Salon Grade Hair Dryer,DC Motor Negative Ionic Blow Dryer with 2 Speed 3 Heat Settings Cool Button,Concentrator & Diffuser Attachments",,,
hair dryer,amazonlist,https://m.media-amazon.com/images/I/61Z2SCVNoiL._AC_UL320_.jpg,,"1,024",,,$129.99,BaBylissPRO Nano Titanium Portofino Full-Size Dryer,,,
