category,channel,crawled,etc,grouped_by_shop,maker,nReview,nSold,options,price,productName,site_productID,updateDate,url
수면 베개,navershopping,F,"['리뷰', '등록일 ', '2020.06.']",F,,1,,,149000,밸런스온 서장훈베개 기능성 수면 경추베개1+1,,202006,https://adcr.naver.com/adcr?x=tip2baBtna6b75ESag+gMf///w==kY4d18qtjENraYzRfnBXC6Cg1aiIeN4TE67+RGtAuVr1UeuFBeNPrnOB0BUaD+qw0ZWmrXS5Ij4k5AqXDpldD8qnRaYs39kdLMvay5AGEoxS8Mgo0lt3b3m3xMpralG/Ge6UFwZd+ivNoa/gjNdJh26HK4kJSy6GCDPIdpC7bTfHi6RLVO30/2mKzhMXPveynnXB+X0s1CnS3MpHfE6Ugh3nLkxeoeFYRkOObb/55LFM8XrVMwxa8l0ItBA65ASs7cfZ+aNMNaSvnh3VPRwhBhGFeopI/fk8+vuqh2UkmRg+kzy+eXcqpHbLPXyjXD/+RvjqGtZ6bXBWlKFOtKRiVVHLkHrZodbq9yd6Vz8hCuhsAgHbIVvJk5EG5AuQM1wJ5mddMUXoHneoByNK+6KLa2xzeYCi2TF/0/L83Ydd0kSKNvK7d7qBtHCL/TxJwSJ+Hw752SPtYPPyAJUmaz/6kiDOSPU+W2iEhsgObJVCDKKBpvA++Llme+28hmT5HPICqKADwBIr59LdXMAxfUWAaXm4Ptat9g8uZbl/e9R8dePe0EqRnujWvVqSOcmdMmnSMYWk55nWVaVIaO2cAXSTGVL6ydeFaAdznHqgbW35N6o+72BfHHBs6QyFQCSxPIJB7hmJA5H+YqBDdjjq+ci/OyWEq1aCnPcJrtxljoMO0CdbeT5gbJMJenvVvozNP/7kSGkGfHVlYxr/j6BcdSfH6j+8StfGLBgpstAyE99q41Q0EJYIMS1Zn6AUum8Dw/+mWUMKx9ZomFOncJKh9+Kj1XsQzOn3XOrP6TG98P0i3LtEUtdwwXdDQSuSRLPxRC9Dr2RQjFYdcstJABZ0abFf/A6o/8BOKm4N+W1PUd/9kZCoxkgfEe5dxCrG4rYPW2TjC6DxU0FmtG+n5GAUTr+DJleiMm/PVEyEaLI8j/sMFLOU=
수면 베개,navershopping,F,"['리뷰', '등록일 ', '2018.11.']",F,,1,,,29800,바른수면 꿀잠베개/목 편하고 좋은베개,,201811,https://adcr.naver.com/adcr?x=A+Nobe/9xTSLBvqC9O+Oxv///w==k/WmIoa+lbHdRL6MXyyK+HDy4pLAyJ2GwjEfGlxN5UCjbh1QGUdDPwPdxg6dzT7kkm0hzRrnAUzVEZTEDGMN6uqqQlMHRUGDtvw+MbaGjjIVjj+hdXRjZpO/EvBqm8gSCZ+7ROEa1JhoU6iYQhAkIbNWGoIMtD8M/vSO2sEL9lLc0WmbfsDfb0TspPDPXR0ZNmVYPpjfZH6UQMgZFq3dL+FZQBdsv06U2g2w2RixO/OlmZJtUwPYvzRCTeFDqpIjilAf+WHG4LE4f6zv8P9XXrkefAbSuFE/2vQb+GTZnA1e4qqPL45s/FZcvW+MmQyaCXaGz15AY0qoIjL6GrrQMksZmQBsiFeW79jykQSeqJNAwuldmYCF7QExz4jvgvY5/0O8I3B/gK7drFlXiFuK9plx0dzyn1VWxuCrpYlHxwixzmDvKLKhirLli64hq1ZUTk9ahZwup48EHibsPmyiFi1uIa9p36KRbBqpHUDcKAgESJfqYOkRSjOWlC6O6F2I6EiRBttJ7P1+y/7771VWemziwpVUejiUu0bJrASuGs53pkFF/vCOoIlOtbJVJc9FeyIqClM0NoswId2oY/Zy1Aa+KuPjjMGEWAOO99RurpjbJdqa+dRcIvbuJaxZpPxkpqLvbdYxj+U23u/a3riHjpBx3ny1ue7UtgbZ0HeBivZbG+GF0kCofK4QJE7kMQAGvrom4AqVFAtFRB8KOcmxTorxOhke6c31782ci8CDfJ46mxzYHmmxhZ/70FRfY2w4FF3JzttdCYWaCl5EaEtpgJA==
수면 베개,navershopping,F,"['리뷰', '등록일 ', '2020.03.']",F,,1,,,79000,"잠 잘오는 숙면 & 꿀잠베개, 우유베개 알파",,202003,https://adcr.naver.com/adcr?x=B5cSoP6FM7UPw0JWJtCJKP///w==k96zaK0tXdV9PWIxmSF8+by0h60Jn0LHu81pAQDZtFmIaOPupLMsCPLrFHT9+BkNjNZBQUb4jRWW4mZtnFqa8vgj/G/f2Sczskb7Z27IU0Uhmc0DCYN3AdUbAynhaVJQWJ82PY8q40UTg7gpomMPQVovOnptcVwK6rjf7/lNDBoZx/ny314Gtc8djiQpIwlEEZSPLcykxqOv+psBbhkTiGRD91ujH2OsCTCvqvIMQxgp7gnSuXfl+IWH+rMFmGPomyeTFSmOmzw0yKi3g6ZHCQzvBKJPFdDj+PV85/dU6Dx/rMDos213zv8L2Oi4PgzAaCatiYUmG6pxyp+7IYKExmtfo3/s04Yyz2xoUA9aJHZ6LvTFULvf56KdoeHxurZ61H3rZzKU5YXV3hfFSjbNKHb+nxnBGp2xuEXQ1c5Sd0VW2HD0NBJzahHhhUojCaefKNH/7hPkEWPCLAJcqezQAOd92qKWGSypwH0EM3Vk66RU9WY3PFaK4GEtAbqR+m7+xbxF29zZ+9bhmkn/umW2Q1C4TJMVYo4omv6JXlTTUc54xKJQULCPdIUz9s/LPraqASC19+xaakMMuWOdj8QBaIHQ2InKHEFSYnHW9JmtNsMG1oR9PTo1zTbjgRiflCzV3GT+mvxgZoSZcjyJn9WF5QTVZQhCyR8c3KEoQzeOqTgJyQsgPhXjsYVCl9zfheUINXZIHHVOpO2i/oOjr4gwODZpPBRi527/GFIf4wjokVXVfYQkMlS5Y7lLNIJmGWqYBQju7dDEfcMO4nQZIPd/PAn/S1MasDkCAIYghLpuoUSfrBEXf4b4ONHM1YPDHaBb5MvhDi+WwzFLFFEeC4rk1q/oul364z/1LmliJuognlsq+qHmch/ZZDSRxfE1KbQaj
수면 베개,navershopping,F,"['리뷰', '구매건수', '등록일 ', '2018.11.']",F,,1,,,37000,단잠이 편백 숙면 수면 꿀잠 베개,,201811,https://adcr.naver.com/adcr?x=86Q7h/Q628Ad+peS8+lkZf///w==kAJOvYsAq6rt12RghK7ZU9Slp7/ihTjidWyF2n8lWzhlpgQoQ+CVdq0XF9+/RJqZvss4nDARE6FOTUZNwhpYcoA6kSQZbBpV9qEZ4P8hOgLi+TUoY0BOoixI+pXvMMjh9dMzXE/lVnTGsk0zkpb91otsSiduHfMPV/Kelf0+tDyiT6GAXzeB1UE8nIZN5nv6gLVUA7HGBakyjyoCbt26u0YNqtRDFjTwu6TgxPz06yRKuTEYLjawGpfoQsrGvDQMyLRfWvCdYCPZb7JiWBmOCrm6GYilPhTFU9/89+LDWsKAmhbPINt4OlNifpg6Ibo47h7BFiUE1JQVk4pmnUGZ9mwIQkgR3ZtSaQlopi2Se4drAlPhb1OYvERs1jPSA5Gs1uoH6oYV9nha2RKEhcrkTE8XyULHpjz54tKumSGeFFf6DtdrGBV9Ma04joKbzC/+z+HcAVilDazYd8a5vcJ05Xkk4hEUHui4KFyW/wtMm5J4/fi6jSiF/+VEYdHRZFGii0XOb8mY8MCq/KNB0cZubpmXLsx5Lw0/pv70BmZ3bxetjXtTUYLAzMnNzFBzbadppSqf7j5Zlk/zh+th9+nwFrv+smRiFJrYPcwkuSdYRCMQnjXxURApo943sii/tiUaaV6p41XBzbfkUPWXuHAwbIDKPBHfWCUqAu5THQE828qxqe/+LMzHTdzumHkBKq/PdS2E6Lu0LcTTKSbpsBTN2vvW6KpVdN6qn453eFI+EouN8d7igctPgFXc8d4O40Tmaq1HD6aLlhyGbBdQF8iRBYA==
수면 베개,navershopping,F,"['리뷰', '구매건수', '등록일 ', '2019.06.']",F,,1,,,29900,수니홈 바른 경추 목베개 낮은 꿀잠 수면 기능성 메밀 마약베개,82111956656,201906,https://cr.shopping.naver.com/adcr.nhn?x=OxzJLqU9g1q7tU0m1YuEw%2F%2F%2F%2Fw%3D%3DsAJCGYapLU08%2BOyM4hLxeQxkRay2LqFamF4%2Bj21idBXPWhFWIi7dqTA7WvHvDoAEcfGsUL2MXif944BKjwPqCXDNn%2FKUlv9w1xLKO1k7exN9GtKWAS7e2vL%2B6Xkms%2B5EZrENVbW6dlj4w9U6%2B7%2BuijkS%2BortKzfQDWBF5GV%2FKfqEhJv3ljJo79VVIpj6%2Fm3WOg50q3GamNMk6zNIhFd7cO23RLKR%2FRUZqZD%2FoVeKcx25WEXeXwSaubPu0qUaxQfPPa%2BpHa6ewb0%2FDpcGez9%2B2Mmaf7oVVn%2BbTDsruUdhAA7tCNvchiwoo8tNwMBtYzm9%2FD2Ll3q7TyGRkW95SoP7csdm8sWP%2FO0UYdVdD4BJq1Puydxdrmy9OiwItLVvTN6L7u7Jd2tk1QK%2BFa7UeO9T%2FJ6%2F23CRLcEp7An9oA5bS81xDdnVQwgbqDT7aiw8M1rsHfW2w1b%2BqtbZYzKU9pyQ0Lkx0nhegAmQVw8J5suKTokcm6gqV2zFs7Ezz2bB26R6VPzJsvtuPD0j5RUEuXQaSguz5M6K9gEjmYXAbf2ColN3mELFO07QEQYUyi%2Bk709RTswe%2FUyRPjbtqWnRdGh7rTgBQM%2BGkicAZfx142uHUsHkMBQvY5fHYI577mAo3cpD0hWw3%2BIByOa0jCVNQVnCDoA%3D%3D&nvMid=82111956656&catId=50003474
수면 베개,navershopping,F,"['리뷰', '구매건수', '등록일 2018.12.']",F,,1,,,17700,비스토어 통째로 빨아쓰는 꿀잠 마약베개 요술 기절 숙면 쿨 여름 경추목베개 바디럽x,81525105791,201812,https://cr.shopping.naver.com/adcr.nhn?x=AzLK6sVxknyxfBXl0TGxt%2F%2F%2F%2Fw%3D%3Ds%2BACVtVJdstuK4VxBGivBAqgPjlXkKCEWB6EfYg5q08uMj2b9ghXI6Phk8qjchC%2BwyVU0Mbs5iSFvtMZJ15WMXSrNlu8XiHne5Ed4FLPN6utTQtEM1vBse2w4zC9sCPVRplTWfRNs6aDxXLtIojkaQcmscUZuB%2FB3GA4tAdwd4kJn0E%2B7lsL8Xc%2FJzL4VwihdWZwc%2F0iY8LvIGCrnH0dwieq0GBeCILehYMs0EC6QqyZYO4Am6plsaXHSO650j1yFP2tfKoQ0NQPyiad34AQ6K9%2FdVvwtcOUlbNrGLU3RUnqt%2BV%2BXB%2BNGxUxHU3VNsNY5qG5yNGErPSRLCU3ZLNj0CwpskFutAPHYJ9f1OIBLl2A%2BDA8x2ZtNdlIk93fv220pdk9lz01g81Ov6a%2BSuWtrB62S8gCu6Y2l8m%2BZ4L%2BVYXtDVtZXijRB0bbdxIr1ttjxLChtmhb76rTstINaCLtcxzKDfnM0pJ71buu6eebebXHVECetBQoJdw0yKPf7ugBh%2Bo8f3v5ZfNX8WRRkQ98A3xPVIgF%2FZ8el62BpGDvRFdaWIOgXDafOPxat1OWE3OSR3tQKwcbahS2un%2FmIAOtrSrk9yx2LE4ozzid%2FD5TsgroJf71rKWeRmg0wtpgbcaZ91am9H83rxfx0qRRN6pJbCbFTYgQhlFKQqcmOKMqwPKfLVWGr8fvvH1mWvUgXPK6j&nvMid=81525105791&catId=50003474
수면 베개,navershopping,F,"['리뷰', '구매건수', '등록일 2019.02.']",F,,1,,,40000,마약베개 슬리프우 수면 숙면 통째로 빨아쓰는 낮은 요술 경추목베개 몽실,81696626548,201902,https://cr.shopping.naver.com/adcr.nhn?x=H9tHPfaKmnmDGU5xiaHz5%2F%2F%2F%2Fw%3D%3DsIoDrvUWkNJMYHpx7bCoai6lNmuX8SADw4fAslgT86oKMj2b9ghXI6Phk8qjchC%2BwVqEtTHaBIIpdFmFT2G5YQMfFWlU2ouRtxwcqHDTaI3VTQtEM1vBse2w4zC9sCPVRplTWfRNs6aDxXLtIojkaQcmscUZuB%2FB3GA4tAdwd4kJn0E%2B7lsL8Xc%2FJzL4VwihdjgPEXMWaltvFub3sgvHI4uq0GBeCILehYMs0EC6QqyZYO4Am6plsaXHSO650j1yFP2tfKoQ0NQPyiad34AQ6K9%2FdVvwtcOUlbNrGLU3RUnrnzkrnZAa5G8B6c0tE5lQh2wuYPHs5CvwALLmecz6WrwpskFutAPHYJ9f1OIBLl2C1CaxRoioWHcGk3pbtRJ7fXhVYRk3zX6zD0JAAVa1Y%2FyR7bW1IwNbIUmud2Cph2RO61PdPBjh%2FfGp4gdWVPuHJREJfLXvclUmF2%2FK0HL0f%2FT%2BbRi38RsANPYzeMzUsnSxpqEqYZ4diTiqxplGLyCWKMlNs0xcL6qVd5y06gcA1TvMcbO624Puavkmou9EoEmBfvAobTDYEiZA5YTl4CHplg64ApXpFcbUizTdcku%2BIF1IcNEVdR8SsNnwcUFZQs2%2B3Wv3%2F7cyg5DHYDZCu7V3G7tfIVxBaVTqdJ%2FQWpXDYNmhopkeKUdu5q4dSKA0zkoA%3D&nvMid=81696626548&catId=50003474
수면 베개,navershopping,F,"['리뷰', '구매건수', '등록일 2018.12.']",F,,1,,,98000,홍성돈 숙면베개 베리굿베개 김주희의솔깃,80896920043,201812,https://cr.shopping.naver.com/adcr.nhn?x=18NQ2VQPMZ8m21zO0Jhwmf%2F%2F%2Fw%3D%3Ds7buA7BPEjXwGJT6o4y4x7RY20eHVawYmmMtQEmodb6iMj2b9ghXI6Phk8qjchC%2BwV8SY7CUQTcx0Vv2Ps2ch714yOogXSZXwMHIyzECxj4xTQtEM1vBse2w4zC9sCPVRplTWfRNs6aDxXLtIojkaQcmscUZuB%2FB3GA4tAdwd4kJn0E%2B7lsL8Xc%2FJzL4Vwihdp%2B%2BIPptm0doPtLOVPxIq2uq0GBeCILehYMs0EC6QqyZYO4Am6plsaXHSO650j1yFP2tfKoQ0NQPyiad34AQ6K9%2FdVvwtcOUlbNrGLU3RUnrWApAuIsi8Y7d4ZEgLCdZz0kTXPxIbnITb6Lv0%2FalCaApskFutAPHYJ9f1OIBLl2D1BfqZjYOdBGpTOOm7%2FVO6K4xDjf5gkEjqcjV8VXx%2FL69%2B%2Fi76lb2%2FEHKhaLQwLfXC7ImBRZeDthC2HO9Cpz0wzTKyh8Epx8PXTxzOfAb%2Fh3VhcMBUIFylKg1x57ETC%2FTaZLyhgoUZdX2tyRi%2BVfEcuRqHP8YhBD5RAvXs8ZMVmv7JsgrbL%2BFUWkd%2BnRQ4R0kvcsWiBupS21ujOn9IfeBBEMeW%2FeA4tIvRVvC6ZBmBfgN%2BQsjK6V0FLd%2Fybx7qcubNSE3OzZUT76KyqzckASmm&nvMid=80896920043&catId=50003474
수면 베개,navershopping,F,"['리뷰', '구매건수', '등록일 2019.06.']",F,,1,,,18900,이불연구소 요술처럼 빨아쓰는 아늑베개 목주름 마약베개 마이크로화이버솜,82083327313,201906,https://cr.shopping.naver.com/adcr.nhn?x=brwcK0hclcsxunrW%2BGlJM%2F%2F%2F%2Fw%3D%3DsZI%2Fsjr2VhlaON70tPMUzLa0sXOaBP38TyljwJoFNnLOMj2b9ghXI6Phk8qjchC%2Bw0JxTGododwYG3P3wBkpjxrhE2%2BULJ9IG53kcpZOyxo5TQtEM1vBse2w4zC9sCPVRplTWfRNs6aDxXLtIojkaQcmscUZuB%2FB3GA4tAdwd4kJn0E%2B7lsL8Xc%2FJzL4Vwihd4WvkfLozthh%2BJsyENq0ReOq0GBeCILehYMs0EC6QqyZYO4Am6plsaXHSO650j1yFP2tfKoQ0NQPyiad34AQ6K9%2FdVvwtcOUlbNrGLU3RUnroibKYkOGy%2BXe9OSGozzukey4EE%2BLodkLLprlyuVQClwpskFutAPHYJ9f1OIBLl2D%2FanGBDuHCMsgsdwfpqQucvUSftN8lu2wGzacpaOdpS8Bj6oR%2F2mGXSX89w4hPvYmGhImVTvSJjws6ZMIeE%2Bb1akh9IAgtnH6rmNHIJY6O680rOomIN4QE9Ai8s%2FaPAdjQPnojeLcCu9W%2FURwKok4fKykUA4F2MK3VHR5Dmila5nv8yqByZ6vuhGJGsbHOOdMyc21%2FMgG73pxCifi2R0%2FR27TKlugOt5bCelyg43YYv1npza2r5LzUpJ1K%2FPryy7nm83ULdb6GgkjH6zOVtGFFGSGh8pATIswOFpRE3dqeNeR79U%2F6Az3gE9mQ%2Flgn57E%3D&nvMid=82083327313&catId=50003474
수면 베개,navershopping,F,"['리뷰', '구매건수', '등록일 2018.01.']",F,,1,,,11800,메밀베개 낮은베개 목베개 목이편한 숙면 기능성 수면 경추 베개,13420393151,201801,https://cr.shopping.naver.com/adcr.nhn?x=s2RL5kXBA6FKmGgNl82aIf%2F%2F%2Fw%3D%3DsDk5cTUZdnEvq2RpjY8qaFSJSGlTfYMp4vtaLYXmYGTLWhFWIi7dqTA7WvHvDoAEc%2FtNj0Uc86fG4H1r2kQXENjNn%2FKUlv9w1xLKO1k7exN9GtKWAS7e2vL%2B6Xkms%2B5EZrENVbW6dlj4w9U6%2B7%2BuijkS%2BortKzfQDWBF5GV%2FKfqEhJv3ljJo79VVIpj6%2Fm3WOzGK0Q72cTCMSmeVUA%2BRWOG3RLKR%2FRUZqZD%2FoVeKcx25WEXeXwSaubPu0qUaxQfPPa%2BpHa6ewb0%2FDpcGez9%2B2Mmaf7oVVn%2BbTDsruUdhAA7uRKUEDWInY85VI81WpwnDAo49KP4d5sN06HAvpbunEvATObh5EOSnthP5302zOfDozL2ZSnpbFUr0EY538OZX5C4wUKrojeqMOQA7Y9V9yzs0dT1PmewWRxTKOqmnfltY6MwucJj2NHJM44lWsVCmBq%2B1NZK%2F1F%2FOc431XlMTyYmNRinoBRkTAJJvurKPqkvaj9L4MTOLtrYGRQuDaVNOg8xxs7rbg%2B5q%2BSai70SgSYKoCA0gQIOYX%2F1gyXkhhFNKDrgClekVxtSLNN1yS74gX5ber9G2JVn%2BRXMXLo0%2FECU0en1LvjQIdh2VRGfLzfwiXrx2qE9a1pWI6a0Q7gnpfaGimR4pR27mrh1IoDTOSgA%3D%3D&nvMid=13420393151&catId=50003474
