category,channel,crawled,etc,grouped_by_shop,maker,nReview,nSold,options,price,productName,site_productID,updateDate,url
마우스,navershopping,F,"['리뷰', '등록일 ', '2020.09.']",T,,1,,,166900,RAZER DeathAdder V2 Pro,,202009,https://adcr.naver.com/adcr?x=XtWPmf96Dnlf4hgd3t/ZBv///w==kMjQHQioUiX5sgM4iIUrx2oORWjizy/cq5s5HAWnmvdoOp1ZAJRWASfL8OKpjl1jK2SxYzNdfbFvJ2/8y/8RlC/4VEA62fAEWDz1gH82UgjQ2hwJLRBM4QvFIsaeJzcQYagkaKPcG44Ej4BsEyge8q8br198FE2V/y8C7klc+RjIl0Cq5+jdPMQ6Tqz3TUZobT911XmjBBYf8YU8yZ0vTCfZGkcenPzBlw8PzfNIORLLTHkQ2Fado0nk/u0R3b0tUpS1TGufpHxoKfBKOcezpfwsJPBGQANgoNoPl7BucRdszZ5cpyiS9KerVPHi8SCBb1iWQmJtFgqC1ZIWWBPdqV7VTb8L63BIVSGg6V5YenJYzuBofuY6pf5+Mfa3jl3cYQWeSCLHGfrcP8AS0DBXwwJO6EAh0KzrYkPDiFM7GPS/JLRB9FC2nrbkqZ5GWLx+KBjf7ze5urTT/3e/JjcJYuaTQy5240JnHJ09IxQJLpzrCAp+q7uDV6/R5ohrKckhAxAQeBu39a+f89kqKsSrmXNofAvL2GnDwQt2eawpVjbEA9ciMXBBK9slK4MS3qTjiV6p/duaysNqEXZ9JVbLODzJAhPetiebZK6MugFCx/yVJUAMGe85l3C14so5WHQAJOoI6dkc6HV3uulUhzf0fp8rlwLzqz0xWe+1bA8qsPVz1XjBQ/ZVJwS5dQvp0CYkMCL0mJbNHolEgtS6eXOFySAhhGUnLgosaXw9cXcj0RUn6hL+a5E5BTqdj9Kq2C+aftFXq7KgN0b4x19O4wq0ChL2rpdEIdU4A9yxNi5uUI74=
마우스,navershopping,F,"['리뷰', '등록일 ', '2019.08.']",T,,1,,,56450,RAZER Viper,,201908,https://adcr.naver.com/adcr?x=VPmXhh2tXQyXoY8EPkETHf///w==kenOgHbhpzOP7RLOYQD8BXTFPftyu+D+6OiZeU+O/14EmxgUffpLlQdYVVCagKgD2N7qA28o6jdM4qzpzkwwwBJ5eLubkiTgj0IymYAb70UPQX1LehcpFEoG+2y6YyqMA/rM8sxNWnr+AhPvzagsnnH16Xl1OrTggymphY3KBrhh6Wy4hFFfWYKUHrEfgclEVW+wH6SSrhQWypB9GFeNkdTQATah43MmYtsbNhJTM8zgtIuyiMeLoObnvuKkZAn2F0AtYasYYoEEpWEVj1ZxPICuneBea0YHUG3wZhmFbJSL6mPrVQ9+17I5xymYVxSnYfRmIUN7pIQYbEa72JZlm380hmhcUXLSNsor7ahkCV+AmrDEirWl/g9ojUvfQDvBMtTGzIcrueDM+NI1yVFKb3RRyZfXjMfuippQSL9YJ8QxgkJN0hd0bjXOEGCR6y09AgJ83jPH+Ry+mstvW/ab8v9KWQWUzEmco88KlZt1t4hKOM11JwxPrcs0WcwhpuaOqFPU5bH5ms/7k+O4WMQkAKzX/qKhza72GH4LDHZKoSmTDJjZPV/iLIcavyDW1EYH1LSzcrPuCf7Nq9rVU2Z8HMn9wAeCJv/ZTijEt95qr4I6S+MVBpo2sZp7iuRHzgIdQYiQkJNt9xjyi14BGtuhWgsiSVpXzKowefxzhkbdpfvgkW0yTwi4EoH8uwBgv7inl+4nBqxW4eqgsfWJIxaFA8XZ81BKfPawOaHmfLiqj5q9iINFFYv0OZQpAOzvUOmiGiZV/M5Fw5dhTPBUuCfOhzg==
마우스,navershopping,F,"['리뷰', '등록일 ', '2017.09.']",T,,1,,,29440,리줌 M1 RGB 매크로 버티컬 마우스,,201709,https://adcr.naver.com/adcr?x=rhWVi+g+Et3Ibg1JWbQJsP///w==k7QvqSPUNK8PQtjRlPYpl1f6oHjGdggtQ8AnYi3Syb9hF3aqYd8zEQBRsnlOH+7qh0OMjBIWPeKFsxWGY90SkBGCCqhTmPYwCx4ifPo2JLgCW/ECaQHG1TZKerutkXBCa3l14J653gvU1aPIInKT6mnda8b/B7BAalY6ZYslCCK+2iOO86ehjfT2WYYaQEJzzLArfRz2Nu6SWmwr7GM7cDXXCzxtLodf4n/ByAUJMoUeICLx61WP91wlE1YfD+A6vcOqw0DIXrlXnLvk11BShSyUzxfsLaI6sgCXcmHiqtS3fTROZrBnNEp6ZYN/DlZjecRzGC5jHx4b4ShgDxjG2cYFRBiF54iPu0SHZk+Qkvhv6UkOyjHWYCTlND6BvjeBlUiY+Dy73/oZ30wCPr488JJV6Zl2ZxWRoFqowGvkyxh6SA8S3zzS25isg2ARO89SuqAWHrqpdJ1bxEt29eYI9Dg0CkLADe/1A9760mCfHOIVovDmPo58BjiBgA28PNANzr+IWwq/mjYPcj/yJ9pdUwFFKHOo5MUBbBZ1aYcf3SRmm8mO6LcdfWZMS91tA9fpMohZVbAmY/VnmGOsPTTcz1vHZiQCKB3ijQNm//A4Y4nU2uYPz18xVWqAo7n69me5Kdo6m2J31e5hFOM5bisWMHD52njhRtYWe95Qmr6Ufh7LyJ8BhFRLpbuRBmb2Jh+2FZJowiyBYlpVJUVhc93LNR04a3pKBIUBU19btQyeWUMJJB5pl+AeVRgUhtfNWQJwAWmsE3Pd+msdS//08GtF6nA==
마우스,navershopping,F,"['리뷰', '등록일 ', '2020.05.']",T,,1,,,17200,로지텍G G102 2세대 LIGHTSYNC,22742122709,202005,https://cr.shopping.naver.com/adcr.nhn?x=znVpyWHzzzqXnZAjbH6NAv%2F%2F%2Fw%3D%3Dsb%2Fk8fPlAtMr7lnu2ncFJcGh9FEQzeEpOMYc3Zb0S1d9xHItf3N%2FcbNjKmLiVi4RRD7cyYdgXX0nAHWQSS6RpjYRhafLzXCPDFJOPRYntI8Gj65V6a9fb7UHHgnb4WQfnDKRbK18Badh7NRMQ28TN98v%2BjB2erv%2BZ%2Brrs5VHOiTQjm3HV2AtxVU29tBvGMw5IWs%2B7e0XQx0LGt%2BjJX2HNgQ9xp9eauWKHivVGPnW%2FONJoRHX88yFV3f6f81CPrqkTPM%2FtxioWbDn8DWnLyAUrk55g31wVDxwpwzdGPT0gi%2B9IAJ%2FJQ9vsa4G5awamMD3Visext5K2yYkF868rsMDqiWxNWbdzp4jh9lSrc%2BAI3hMtV8vICDg9xvGeA3FZ%2F6rsSo0adg%2FaZAYXCXaj0Al5Ez%2BYQvO1y6W4rvd4rUDZpC5bqcE6GbA8u9M%2BkGLtyqbDC0r%2BUmM4rOUlXYgQF%2BmvEQJkfyxYlAJa3W%2BeqonnB%2B2VL5CPaZf6uuvzVvF59TiyfxrhHEu%2F1TqK7ZkGDgSoShE%2BJ0xMrfPxT0j2gzrdT8YNauEcRynSn%2F8orOK7nc90ACULNNLGhaOxZLIHedMSZM6%2FhqDyzxGsXb0vfNCJskpXc50eBITwugSNPH3Ok09sVpGw61BSdoQRvEGgfFlc5w%3D%3D&nvMid=22742122709&catId=50002928
마우스,navershopping,F,"['리뷰', '등록일 ', '2018.09.']",T,,1,,,10890,아이리버 EQwear-V10 무소음 무선 마우스,15369599180,201809,https://cr.shopping.naver.com/adcr.nhn?x=rSoJyhfZMv3ERxGEMUeDS%2F%2F%2F%2Fw%3D%3DsVO9Hye1kCdd042n00Nyyy%2BZZbFPvRPHDQgcK7EXPGrOsW1GTJ1aVysu9YCoSyLWuWEKAejRXa9Z2Hlc%2FbRdqCToE421RTet%2FKu9KTQ4fxwrVrLRBsxEQquTnMHjDcD8nQ95GMsdmxoF0%2FtzSyoRLlFVd6Z%2BmZ5fvTALbBBPmfKIhQoTJK1RRNMm2SXYAx7tqXGp2bUj7LaC2fW0GXfCRH7LtxzXNbHtB7efEP96brt%2F1YcxlKu8JS3WePYyIZk%2BnpRXx9wxW1Phhgn80vsRqvVFSHiNn05PocZySj3ZKlgfIt9ELSj9ZgOwWGT6cXiS3NUJnit2TyE8yh3GxJ0fiPK%2FK1BycxQ8OzZbUuJqekgJONmp9pJku7lb7dVDBgMLv9J0eQ8Da%2B8bBalv%2FulweQ6xhEM4nPlFKJkiEJYjvgoIrZrW9g8Cvbc9zTe5rEOznq%2BM8B5lvRuJYkET%2BMjd8DD6WKO%2FcNOGU%2F16vxwmebDdcaKDmoEmIwjmm0EfJr%2FZhjkOjXegHYVJ8IdNL1f%2Fgg7B5Vsx5%2BkGH8haa8wTydHtY3Kdp%2Fn12un1zbGZHPDIPEs8cFUTVf2EXpmSuc9bAhHXxqNi2F19C8Pm4MisumJNTnjv948Ns1H2jW5CipfzKaGimR4pR27mrh1IoDTOSgA%3D%3D&nvMid=15369599180&catId=50002927
마우스,navershopping,F,"['리뷰', '등록일 2018.08.']",T,,1,,,113500,로지텍G G PRO WIRELESS,15119702253,201808,https://cr.shopping.naver.com/adcr.nhn?x=671cBDrDWSN9u6NCbno4sv%2F%2F%2Fw%3D%3Ds1tAPMbE9A6CjHM4oKoPCHVVKcnkKnGBo1qjhP3KvT5BD0mMCxpVDkZXcshWF6CAPT0r%2BjxhD4krhoRS9tNyLdm9dWlFI9eGz1Pjzeq9jqKU0UkkC00uNFVz6ncZYF9X2rIncslscQM2rqR%2F%2BQC7ed99%2BKy%2Fm0d%2BgYWHtEf61Jo5c8Scn9ROh9v1JufR5vuI6DfK5zo26Uc1NAeMcc9z%2B3hkSNYMw97pHipGnSSGgFLabhgti1in4%2BbW%2B2NgxZ4sXyrwun%2F4ia7VI2nrNxx9cnSu1crKfu8UL4YLCQ6bMTtBlc6P1YajnJs%2FPQ4MWP%2BA7wc%2B%2FjkR2vl%2B%2B%2B%2F%2BVPNlrhUQ6cpKTqlmYGalnAZlcEQ2vMISnzELsYzWMZcKMYC1DOiSHso0SSRvAEEo5QU4QSqpS6IzPW4jVPWPLpYK8FCkLqJdypZABZs4EzIC%2B4XNIIjbxAMh%2B10%2BjmxnveZkXVP5M6t0Oir1b0h7aNztLr7G8AmqgfGF1lS4eBArMXjXXC71GdhP26zpVydZ%2ButftLI0X7BFSNvMNJsIviuWUF0wSzxwVRNV%2FYRemZK5z1sCESWgwPXQJJojlDZD4LAXaL9BGhtUK8yS0fKlNTOaSHL1oaKZHilHbuauHUigNM5KA&nvMid=15119702253&catId=50002927
마우스,navershopping,F,"['리뷰', '등록일 2018.01.']",T,,1,,,21150,맥스틸 TRON G10 PRO reborn,13380251850,201801,https://cr.shopping.naver.com/adcr.nhn?x=PIVziuihM0pKQ6rN5dvBhP%2F%2F%2Fw%3D%3DsCvb7WqcvVxn0buscWuoAo86jx%2FFqymqYMujtBe%2FOKHtD0mMCxpVDkZXcshWF6CAPgMepicHADhUj4P89nmjBw29dWlFI9eGz1Pjzeq9jqKU0UkkC00uNFVz6ncZYF9X2rIncslscQM2rqR%2F%2BQC7ed99%2BKy%2Fm0d%2BgYWHtEf61Jo5c8Scn9ROh9v1JufR5vuI6DfK5zo26Uc1NAeMcc9z%2B3hIlC3A10bNWknVA5Azv%2FFqbhgti1in4%2BbW%2B2NgxZ4sXyrwun%2F4ia7VI2nrNxx9cnSu1crKfu8UL4YLCQ6bMTtBlc6P1YajnJs%2FPQ4MWP%2BA7wc%2B%2FjkR2vl%2B%2B%2B%2F%2BVPNlrhUQ6cpKTqlmYGalnAZlcEQ2ToDJQl3lGrrrv2qYxLlSTOiSHso0SSRvAEEo5QU4QShyTT1N7Z6Fna1Z025EoRZm0pDrgbdUWg0pdJcRqUmTsIjbxAMh%2B10%2BjmxnveZkXVE6r7jx5k2hxrS2tWM6XOLMAWyRx1XK%2FF7nlTi9SuBoxmalYsQQ6WVNMxYjVTJJCo9Qfq169kjgFhANnM5yN0jYNauEcRynSn%2F8orOK7nc90ZAj1hdbo%2BaSOYpxqflDGuxxqtSJsaon03Ew8cTRW1WxXc50eBITwugSNPH3Ok09sVpGw61BSdoQRvEGgfFlc5w%3D%3D&nvMid=13380251850&catId=50002928
마우스,navershopping,F,"['리뷰', '등록일 2020.05.']",T,,1,,,27000,마이크로소프트 블루투스 5.0 마우스,22952538490,202005,https://cr.shopping.naver.com/adcr.nhn?x=azrjcTtdYnUd%2FDJKcPfaF%2F%2F%2F%2Fw%3D%3DsSE86uEJIma6VKNWddWz7Ent6mNGTtDMygTwULRGSANZD0mMCxpVDkZXcshWF6CAPUB99X7vLjPppo2ExfpJu0W9dWlFI9eGz1Pjzeq9jqKU0UkkC00uNFVz6ncZYF9X2rIncslscQM2rqR%2F%2BQC7ed99%2BKy%2Fm0d%2BgYWHtEf61Jo5c8Scn9ROh9v1JufR5vuI6DfK5zo26Uc1NAeMcc9z%2B3ovBz11eTih7sPblkyUCaCWbhgti1in4%2BbW%2B2NgxZ4sXyrwun%2F4ia7VI2nrNxx9cnSu1crKfu8UL4YLCQ6bMTtBlc6P1YajnJs%2FPQ4MWP%2BA7wc%2B%2FjkR2vl%2B%2B%2B%2F%2BVPNlrhT1v1obMLPpqimckgsLcW%2F89Hasr5CVjgoqfW8pS7vp%2FOiSHso0SSRvAEEo5QU4QSojhC2DPd5PAwQB63FtV8A5j7iqiuOlaS5zYfJ8p%2Fp99IjbxAMh%2B10%2BjmxnveZkXVDs1az9zD9fNpXIDVZJCo942lV4fgY7ijnzIqYnXlNvK5gp%2B6h%2FA%2BU%2BmQfK31kpnFbJsOyN5G%2FsUCtgDjUHqxPiHIZ1X5J0xan%2FNPDSKfwUyCDfFfiS902MNL5mSDZn8FFbNDOriazcO7ACgDEI7JfFktdI2TAYAy2bTEL46eKBrHRyPBWbUFRhWScTsgQynPg%3D%3D&nvMid=22952538490&catId=50002927
마우스,navershopping,F,"['리뷰', '등록일 2019.06.']",T,,1,,,5900,필립스 M314 저소음 무선 마우스,19912964009,201906,https://cr.shopping.naver.com/adcr.nhn?x=o3VVJ3cXUaMC8GQAsXSocf%2F%2F%2Fw%3D%3DsOwzdO2EhGdinSbfnW69%2FlMfJ5mep2esy%2FN0hw8wVTBVD0mMCxpVDkZXcshWF6CAP%2F9ra5pQgnfKhX5cClFGdim9dWlFI9eGz1Pjzeq9jqKU0UkkC00uNFVz6ncZYF9X2rIncslscQM2rqR%2F%2BQC7ed99%2BKy%2Fm0d%2BgYWHtEf61Jo5c8Scn9ROh9v1JufR5vuI6DfK5zo26Uc1NAeMcc9z%2B3gAJ9rFGeb4ekD7QMMJNhDybhgti1in4%2BbW%2B2NgxZ4sXyrwun%2F4ia7VI2nrNxx9cnSu1crKfu8UL4YLCQ6bMTtBlc6P1YajnJs%2FPQ4MWP%2BA7wc%2B%2FjkR2vl%2B%2B%2B%2F%2BVPNlrhUQ6cpKTqlmYGalnAZlcEQ1ivCn2i1e0GzbCmqMB%2BAENOiSHso0SSRvAEEo5QU4QSt76yCv5pIQkZqnIYx2igWF%2FLGtRwZba1pxo1NMi4INwIjbxAMh%2B10%2BjmxnveZkXVIEsCP5efBkB8QAQ0fF8kjlcaKDmoEmIwjmm0EfJr%2FZhjkOjXegHYVJ8IdNL1f%2FggyMa0HSYhcuH%2BhRTaK5AQOk1gHGtd88GOh4McjunLUp9jr%2Fvhuz%2FM2bOeEg7k3nONVWOuE9nsX7EbT1u4Kg7dscTfHfGGehOOF9GhsebAA6My1Vhq%2FH77x9Zlr1IFzyuow%3D%3D&nvMid=19912964009&catId=50002927
마우스,navershopping,F,"['리뷰', '등록일 2016.10.']",T,,1,,,18190,로지텍G G102 Prodigy,10565213662,201610,https://cr.shopping.naver.com/adcr.nhn?x=sEJuEgx9%2FnINqKeh2QjLAf%2F%2F%2Fw%3D%3DsxsUpAOwCqWMFJnGk9xIGIViqx64zyErtUb1I9T5g3g1xHItf3N%2FcbNjKmLiVi4RRPoIJW1ryXeQYa6eqLFPgjoRhafLzXCPDFJOPRYntI8Gj65V6a9fb7UHHgnb4WQfnDKRbK18Badh7NRMQ28TN98v%2BjB2erv%2BZ%2Brrs5VHOiTQjm3HV2AtxVU29tBvGMw5IWs%2B7e0XQx0LGt%2BjJX2HNgVquNzlUBHgc36j8cveR0gxoRHX88yFV3f6f81CPrqkTPM%2FtxioWbDn8DWnLyAUrk55g31wVDxwpwzdGPT0gi%2B9IAJ%2FJQ9vsa4G5awamMD3Visext5K2yYkF868rsMDqiYzpoPRQnzcix%2FZXxPL%2FIv%2F4bQEtKzN3mzMHFq9OQ8EpSo0adg%2FaZAYXCXaj0Al5E9zQTQzjRcOZ6uFdLcAOUZ6sMpcrbQ%2BWpYi8DFC9iwauC0r%2BUmM4rOUlXYgQF%2BmvETwDHQqP%2BMe9zT8b7EimrmIY13%2BDyhA37R%2BrT08TpMuPh7cZSh1Rtgt5BYHkDXHZZDvpxAUQL5ZLC4HMFOE8Lkd5Io6FPgLaz7p5TcIaRl2d%2B61Y3ECRTk0BPZSovMxkw46YnaZ6V02l4d5K9ceT9xlB0CIl3BeKsFF2drF%2B%2BsFv&nvMid=10565213662&catId=50002928
